,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.261,1.939,70.17,11.85,1.0,0.0,0.2,4
1,-0.081,-0.824,24.67,6.97,1.0,0.0,7.79,10
2,-0.791,2.937,41.15,7.12,1.0,0.0,0.0,14
3,0.153,2.101,107.31,13.58,1.0,0.0,3.39,21
4,-0.114,-2.605,79.31,4.21,1.0,0.0,0.2,25
5,0.751,-2.23,24.06,5.84,-1.0,0.0,2.48,32
6,-1.949,-0.578,108.97,21.77,1.0,0.0,0.55,41
7,0.438,-0.989,65.35,8.41,1.0,0.0,8.18,46
8,-1.456,2.9,26.05,3.54,-1.0,0.0,0.21,46
9,0.716,-0.323,68.2,12.87,-1.0,0.0,0.12,47
10,0.583,0.191,51.58,1.4,-1.0,0.0,0.0,62
11,-1.133,-0.42,93.18,14.3,-1.0,0.0,4.6,64
12,0.978,1.081,68.82,6.58,-1.0,0.0,0.0,67
13,0.35,-1.611,27.63,6.52,1.0,0.0,999.9,67
14,0.37,-0.402,31.4,3.57,-1.0,0.0,0.0,68
15,-1.484,0.063,70.43,13.91,1.0,0.0,0.82,71
16,0.456,0.181,88.37,13.99,-1.0,0.0,6.18,79
17,1.777,-2.278,65.37,3.24,-1.0,0.0,999.9,82
18,0.112,0.662,169.76,46.04,-1.0,0.0,1.1,100
19,-0.065,-0.311,31.66,6.32,1.0,0.0,1.21,107
20,1.231,0.979,48.13,7.16,-1.0,0.0,0.0,129
21,0.982,0.408,53.56,0.9,1.0,0.0,0.0,140
22,2.239,-2.222,23.97,3.56,-1.0,0.0,999.9,150
23,1.787,2.851,70.3,10.32,-1.0,0.0,1.98,162
24,0.798,1.669,108.03,31.66,1.0,0.0,0.45,179
25,-0.652,-2.151,75.12,11.32,1.0,0.0,0.09,189
26,-2.374,0.513,78.17,10.24,1.0,0.0,0.79,194
27,0.69,3.034,34.13,1.46,-1.0,0.0,0.0,195
28,-1.138,-0.098,67.67,1.36,1.0,0.0,0.0,204
29,1.252,1.354,75.74,10.22,-1.0,0.0,0.24,210
30,0.194,2.536,84.22,9.22,1.0,0.0,0.11,220
31,3.617,1.414,37.88,6.72,-1.0,0.0,3.65,249
32,-1.795,-1.712,47.77,6.58,1.0,0.0,0.21,252
33,1.554,-2.923,29.2,6.98,-1.0,0.0,0.17,254
34,3.36,0.215,23.52,1.56,-1.0,0.0,0.34,274
35,-1.711,-2.12,56.5,10.11,1.0,0.0,1.61,279
36,-1.468,-3.048,25.98,3.89,-1.0,0.0,999.9,281
37,-0.535,2.189,31.22,3.35,1.0,0.0,999.9,285
38,-2.691,0.065,116.16,28.89,1.0,0.0,0.55,287
39,-1.969,0.878,60.16,3.86,-1.0,0.0,0.12,300
40,0.567,0.715,43.88,6.2,-1.0,0.0,0.0,311
41,-0.35,0.811,47.55,11.97,-1.0,0.0,3.27,315
42,0.705,-0.757,49.59,11.09,-1.0,0.0,1.5,316
43,-0.189,1.898,35.02,11.83,-1.0,0.0,999.9,320
44,0.246,1.676,83.19,11.22,-1.0,0.0,1.14,321
45,0.269,-2.927,59.77,12.98,-1.0,0.0,0.54,337
46,-1.413,1.67,39.46,7.12,1.0,0.0,0.99,342
47,1.115,-2.246,87.92,9.9,1.0,0.0,0.54,343
48,-0.324,-1.658,113.3,12.92,1.0,0.0,0.27,362
49,-1.365,1.207,71.98,3.01,-1.0,0.0,1.0,373
50,0.333,-2.041,75.44,8.64,-1.0,0.0,0.12,389
51,1.134,-2.132,23.95,2.48,1.0,0.0,1.07,410
52,2.309,0.842,48.77,10.86,1.0,0.0,2.69,422
53,-3.173,-1.542,58.4,12.74,-1.0,0.0,14.81,428
54,0.565,-0.236,157.0,12.29,1.0,0.0,0.0,432
55,-1.08,0.004,22.85,6.21,1.0,0.0,0.0,434
56,0.183,1.03,46.0,8.57,-1.0,0.0,0.96,435
57,0.503,2.532,88.61,11.59,1.0,0.0,0.21,438
58,1.232,-2.659,24.14,5.21,-1.0,0.0,999.9,439
59,-0.592,-0.688,68.93,7.66,1.0,0.0,0.0,449
60,-0.247,1.52,88.81,11.14,1.0,0.0,0.0,477
61,-2.383,1.763,25.07,6.32,-1.0,0.0,1.42,485
62,-0.474,0.962,106.19,15.32,-1.0,0.0,0.38,497
63,0.236,-0.375,78.94,11.84,1.0,0.0,0.91,506
64,1.29,1.209,22.78,1.41,1.0,0.0,0.0,527
65,-3.564,-1.899,24.85,6.53,1.0,0.0,11.11,555
66,0.182,0.982,56.42,6.69,-1.0,0.0,2.38,559
67,-0.358,0.643,45.87,0.62,1.0,0.0,0.0,563
68,1.009,-2.793,34.94,7.11,1.0,0.0,3.94,568
69,0.426,-2.731,149.96,33.41,-1.0,0.0,0.52,571
70,-0.447,1.222,40.47,7.3,-1.0,0.0,1.12,582
71,-0.478,-0.68,34.87,4.22,-1.0,0.0,0.5,592
72,-0.721,0.886,23.42,4.08,-1.0,0.0,0.0,622
73,-0.05,-2.289,32.09,1.01,-1.0,0.0,0.0,642
74,2.304,0.772,64.0,7.88,1.0,0.0,0.34,659
75,1.356,-0.116,70.64,3.73,-1.0,0.0,1.69,661
76,-1.11,-1.548,58.84,8.01,1.0,0.0,0.0,662
77,-0.679,2.658,278.86,81.58,-1.0,0.0,1.22,665
78,0.227,-0.286,238.73,48.54,1.0,0.0,0.37,665
79,0.022,-2.756,79.39,15.75,1.0,0.0,0.58,688
80,1.344,0.576,40.91,7.17,1.0,0.0,0.93,689
81,1.104,0.067,627.19,118.42,1.0,0.0,25.45,697
82,-1.267,-1.829,78.89,1.25,-1.0,0.0,0.09,709
83,-0.056,-0.674,79.81,8.46,1.0,0.0,1.94,713
84,0.726,0.753,76.21,13.25,-1.0,0.0,0.54,713
85,-0.072,-2.346,23.53,4.74,1.0,0.0,0.0,721
86,1.561,2.515,31.74,3.24,-1.0,0.0,0.23,722
87,-2.413,1.139,46.34,6.26,-1.0,0.0,23.91,730
88,0.654,2.542,81.8,10.1,-1.0,0.0,0.0,735
89,0.867,0.381,46.06,13.31,-1.0,0.0,1.4,735
90,-3.478,2.27,64.78,9.36,1.0,0.0,4.19,747
91,-1.432,3.05,25.19,5.66,1.0,0.0,0.0,747
92,1.19,-0.161,107.41,26.82,-1.0,0.0,0.51,759
93,1.708,-2.74,33.62,11.52,-1.0,0.0,0.18,771
94,-1.777,-1.172,25.8,1.62,1.0,0.0,1.19,777
95,0.233,2.489,25.84,0.86,-1.0,0.0,0.0,779
96,0.877,1.083,53.76,9.56,1.0,0.0,9.27,796
97,-0.777,-1.86,23.7,3.59,1.0,0.0,0.0,803
98,1.116,-1.4,106.84,30.07,1.0,0.0,1.93,805
99,2.334,-2.473,33.83,1.14,1.0,0.0,1.07,822
100,0.875,0.96,125.23,18.23,-1.0,0.0,8.04,827
101,0.432,0.58,136.05,21.01,-1.0,0.0,0.61,835
102,-1.951,-1.836,27.51,7.09,1.0,0.0,0.4,843
103,-1.554,-2.519,23.53,4.16,-1.0,0.0,0.22,857
104,-0.055,2.732,31.27,8.93,-1.0,0.0,0.0,868
105,-0.593,1.181,83.64,5.15,-1.0,0.0,2.01,871
106,-1.954,2.891,30.58,6.84,-1.0,0.0,0.69,871
107,0.563,1.89,31.7,5.89,-1.0,0.0,0.62,875
108,0.319,-1.483,60.45,9.55,1.0,0.0,0.76,900
109,-0.673,0.805,30.63,2.48,-1.0,0.0,0.0,908
110,0.556,0.542,71.24,6.75,-1.0,0.0,0.0,933
111,-0.42,-0.553,53.28,7.62,-1.0,0.0,1.44,938
112,0.443,-2.029,70.11,9.62,1.0,0.0,0.0,942
113,0.848,2.979,36.87,3.12,1.0,0.0,0.0,944
114,-0.764,2.417,80.43,9.93,1.0,0.0,0.09,947
115,-3.377,1.771,24.5,3.3,1.0,0.0,999.9,952
116,-0.416,0.45,31.61,9.0,-1.0,0.0,0.57,953
117,0.2,-2.258,57.72,5.97,-1.0,0.0,0.07,961
118,1.23,-2.103,63.44,1.48,1.0,0.0,0.0,962
119,0.908,-0.895,79.86,14.54,-1.0,0.0,1.09,965
120,2.121,-1.652,66.51,4.24,1.0,0.0,0.0,967
121,0.375,-1.32,30.45,4.19,1.0,0.0,999.9,976
122,-1.869,-3.008,34.29,8.33,1.0,0.0,0.44,981
123,1.407,1.337,66.02,10.91,-1.0,0.0,0.09,983
124,-1.13,2.157,61.89,15.44,-1.0,0.0,1.76,990
125,-0.996,-0.085,66.74,7.02,-1.0,0.0,0.0,997
126,-0.882,1.621,51.67,7.29,-1.0,0.0,1.59,998
127,-1.226,-1.082,34.74,11.12,-1.0,0.0,0.26,998
128,-0.935,1.598,24.66,6.15,-1.0,0.0,0.13,1007
129,-1.634,0.085,32.89,7.07,1.0,0.0,2.34,1012
130,-0.517,2.39,227.83,38.75,-1.0,0.0,0.07,1019
131,-0.87,-1.199,31.79,3.8,-1.0,0.0,999.9,1025
132,-0.228,-1.871,26.02,2.85,-1.0,0.0,999.9,1028
133,1.334,-1.753,35.4,3.08,1.0,0.0,0.0,1029
134,-1.194,0.583,77.71,14.28,1.0,0.0,0.72,1030
135,-1.852,-2.104,25.38,4.36,-1.0,0.0,0.0,1030
136,0.022,0.155,43.95,0.15,-1.0,0.0,999.9,1036
137,-0.436,0.1,55.8,12.94,-1.0,0.0,0.0,1043
138,0.833,-0.888,34.42,6.34,-1.0,0.0,0.0,1044
